"","FLF-a","FLF-b","FLF-c","iL3a-a","iL3a-b","iL3a-c","iL3-a","iL3-b","iL3-c","pfL1-a","pfL1-b","pfL1-c","ppL1-a","ppL1-b","ppL1-c","ppL3-a","ppL3-b","ppL3-c","PF-a","PF-b","PF-c","FLM-a","FLM-b","FLM-c"
"SSTP_0000387700",4.69905093785331,4.60826569550444,4.66254261462463,1.20575628634371,1.09053029367399,1.24847940318101,3.27627603411662,3.25203268379874,3.32449146443551,2.61439308824434,3.12859024689358,2.9246620320323,2.97760566096504,3.01715327888497,3.32561588723715,2.9027526073761,2.66516374177725,2.78601673571304,3.52474492717639,4.02511905626389,4.0256697507812,0.896917984338809,1.51465614358546,1.41588753295923
"SSTP_0000387800",1.18090743908956,2.555434768529,2.3367878786258,2.69193228758111,2.76397660745294,2.5908693049601,6.40564700037953,6.52557101257857,5.32235020927391,4.88766960468229,4.85027125367144,4.8189180117094,4.78433072704199,4.374385835121,5.16929001207725,3.34262146394404,3.16061339879676,3.45816864832547,2.23274663128258,2.88425577477714,2.9197534439219,2.87901611575533,3.26983343647505,2.80281223617695
"SSTP_0000387900",5.58461268278839,5.24592319905125,5.30038822416351,3.65711555146122,3.61348935673673,3.7098038527103,3.97273949287947,3.75059630880631,3.04537059245849,3.50602402030778,3.58017075790672,3.6349416517403,3.98024628162917,4.00337220527759,4.17350370980605,4.23717173291776,4.09729982233295,4.53781628372314,5.42804242863303,5.55533005468619,5.65854947650259,4.27178172882683,4.75081439408177,4.44156654727767
"SSTP_0000388000",3.13454126285203,3.20102503910515,2.96094134909987,3.90132107857784,3.9432695927241,3.97810064551434,6.48821744674845,5.87253563799983,5.50780405742014,3.79397744393508,3.64909094827122,3.51803695686215,2.76695506576071,3.04528551996896,3.42461112923493,2.68062898398623,2.91494679440904,2.39452789618077,2.57528302086567,2.35572366517417,2.58248741297646,3.18853675283454,2.53296340318266,2.66710507282744
"SSTP_0000388100",2.04559649767982,1.85589445559447,2.2801922338682,0.49396467142471,0.990948241483611,0.877280524455113,1.71227573843344,1.80479836837704,0.315327932162038,1.44674440693105,1.26744935791343,1.15333199907788,0.94419492527382,0.159333119096247,0.567657496346209,1.05319141563035,1.2579957049406,1.07777158129152,3.39299232400399,3.3840859247879,3.38177909634273,0.0181549178369932,0.686011463716116,-0.461295896303022
"SSTP_0000388200",4.12189032176731,3.96131284817167,3.94430822188664,0.756526786943002,0.636989288472783,0.980914486255614,2.5128556260783,3.03084194831815,2.98368026360447,2.52708906635197,2.77962069425438,2.72478819055147,3.38389604123847,3.21930339051442,3.90090921950896,2.61135909172098,2.77874797225193,2.59205293237161,2.25786130627962,2.40285509587232,2.43470424202219,1.29762762719216,1.25608490129527,1.5866688465769
"SSTP_0000388300",5.45394952778626,5.60789904401488,5.52260625033399,4.73576154138802,4.59525428887743,4.76493057672145,6.95882895510949,7.64090226901681,7.61910382321547,5.87307253777007,5.96754232396581,5.86744709600644,5.7716153593145,5.71076767321344,6.05251549558074,5.28624763554359,5.29595921247962,5.46243509061027,5.05132969351897,5.24879073662507,5.26363784981108,4.82840529649516,4.96044434312735,4.77640662407885
"SSTP_0000388400",1.65345398056758,1.83623273252635,1.82504418955991,3.26712697741183,3.39038868000514,3.21906610482093,5.13909456364694,5.66890546331823,5.69100165070455,4.46643950541487,4.44536332948699,4.14072903822694,3.61317233319972,3.93772224514991,4.0117582116075,2.60706051930924,2.49770974402302,2.29414740451312,-0.0693730931347352,0.451155887994378,0.291850292981875,2.48513602938176,2.31460379780711,2.04932836002193
"SSTP_0000388500",5.05656774263021,5.13221133893807,5.1188694731661,4.20933431792544,4.15625376563924,4.1826123536602,6.51397727394993,7.11339740652547,7.16517258593993,5.65627894436043,5.63707992559554,5.61620147916654,5.60899352746797,5.45657056255434,5.90829305421228,4.95648369974671,4.87575567706204,5.1078455757743,4.5775137391069,4.82375777084778,4.79997436340731,4.5565651651867,4.55258676183459,4.37772601415046
"SSTP_0000388600",4.32240918249785,4.1843172496825,4.18198314881925,3.71074205057835,3.77865502721759,3.75005267158239,4.29966207338712,5.26815112937408,4.83454411395929,2.64313538223063,2.771407684139,2.62798002151316,2.99032643430762,3.11090537523064,3.23284588074158,3.23098573019401,3.0549830815408,3.20958489640312,4.2054159310648,4.35689891908355,4.37708769904385,3.29602120868579,3.37860767652702,3.44733046848213
"SSTP_0000388700",5.84561641310244,5.82198914104033,5.66612337259176,4.52337444710833,4.50805309319179,4.49810149365535,5.10072509716435,6.2258225866255,6.29255303437438,4.54045925201598,4.66680907186045,4.69546557104916,5.25490430141059,5.23257388143501,5.1725221403359,5.09036319521364,5.09576284307763,5.07296268113395,4.98872425603706,5.22486322078247,5.2394069159937,4.89098430028093,5.45847701054461,5.31038764702869
"SSTP_0000388800",5.97053818627693,5.88323294969563,5.7771320260067,6.28559626997203,6.2368714504234,6.21159506293494,6.69295956087753,6.72951336930348,6.68561614685294,6.323474615767,6.33891406199359,6.30275990116249,6.22461549117447,6.64071413046871,6.58571129233968,6.40632501656905,6.47507598804178,6.56703710420287,5.84155379898029,6.02394251374259,6.04896581053776,8.5436430245162,8.46884880597005,8.49633116508303
"SSTP_0000388900",7.1152245743447,6.44042668299697,7.08244320797113,5.3464327490348,5.15110545582022,5.23607066306982,5.27125258626594,5.23031568515918,5.24893430671586,7.0920668949136,7.25751827224201,7.35033553379037,7.20570560633851,7.45515254057491,7.65268649103415,6.16169233445868,6.15630614261121,6.25675492207325,4.39873200923355,4.88509060650505,5.12846622361202,5.26425763689292,5.0670659062702,5.22891838615238
"SSTP_0000389000",3.85624770976187,3.64525880623073,3.6040607443785,2.84849186959154,2.79171633071444,2.74713340453664,0.000514202384690475,1.72400043780321,1.98875163494424,1.51390595786048,1.74569811273335,2.02360972061121,3.32811738361844,3.41836524317144,3.21261247559736,3.78253879111767,3.62877558925197,3.76836295805265,4.1052808877677,4.18385273176226,4.19250230135988,1.93822601458996,1.82484558339457,1.92240271471965
"SSTP_0000389100",-2.56739012133079,-1.06643903704524,-1.30716432169392,-2.99263674462481,-4.28367955075776,-3.45002966749703,-4.71907431404798,-4.59259369363575,-5.87578196192099,-0.924737872824412,-2.34325290854858,-3.85294430433015,-0.144158285243995,-2.43676269764433,-1.87865280493873,1.51225606787241,0.676829506447982,1.57140321781597,-2.01394282081539,-3.68638912744315,-3.37747090052007,7.25395614983662,7.7512382473291,7.56368499438284
"SSTP_0000389200",1.82996304067053,2.63499075838772,2.19446442535779,-1.21736292179944,-1.5320415854463,-1.66282663743544,-1.9091558192124,-1.41993840833612,-0.832870606505116,3.35283479640915,3.6040017628408,2.5971823264276,2.27558369455555,2.55305966720033,2.22831505698282,2.18969476306582,3.33918025657361,2.36859755500413,1.00870818576585,1.50290432518167,1.05391429034028,3.87576362731795,3.35573112267395,3.39148474012503
"SSTP_0000389300",2.40015574931827,2.15092264709932,2.21526360713246,0.593950270797332,0.338992407087368,0.263693575676195,-1.80735764776577,-2.51410828531186,-1.26130185923948,0.227685044041981,0.603484780780175,0.474538883911736,1.90784591244906,1.52903343598094,1.62145869501259,1.32860262754299,1.09853778080939,1.65222547735564,1.91181780980271,2.43211509596827,2.58708876358642,1.28634880887379,1.03530803823426,1.33826567590931
"SSTP_0000389400",5.0141539587986,4.78602741048404,4.69990172794434,3.17663219314403,3.17216031554563,3.01839202331239,0.491569894824353,1.18992500775049,0.865609627057155,2.49759802984061,2.85809671030793,2.7983436319919,4.29711112942714,3.98015739542158,4.00307767216264,3.9073044155276,3.87756084784445,4.02769750637339,4.55433216858076,4.79795430147849,4.88765122170743,3.74819839056716,3.57537639141457,3.95648180766838
