"","FLF-a","FLF-b","FLF-c","PF-a","PF-b","PF-c"
"SVE_0006100",5.18479422354402,4.78298189468966,4.69378902543262,5.05218612871849,5.12843334141856,4.95431687648272
"SVE_0006200",5.06798520400161,4.84081714944705,5.3197233539494,5.49060516111879,5.69905890651272,5.84306011223533
"SVE_0006400",3.99516893265755,3.31348433542739,4.75901863525101,1.94528523567746,2.05524049289927,2.26381994751341
"SVE_0006500",2.23024566559335,2.19192221285616,2.07556481718722,1.92449651026407,2.5541014242961,2.40133772256182
"SVE_0006600",6.8455846524536,6.73806474318254,7.05461325885544,7.6734969581151,8.43523399135379,8.46933960878489
"SVE_0006700",2.9223525786602,3.10905871078833,2.61411810297929,2.36343358137963,2.16418819144818,2.46276473932681
"SVE_0006800",6.72197648651866,6.59333476972383,6.99682180368134,5.82365984761058,5.40959376878113,5.63348609268173
"SVE_0006900",-2.36394674926653,-0.533448155372331,-0.462557062127475,-1.63217079171439,-2.75538179287952,-2.37430274762552
"SVE_0007000",5.14562495204517,6.14576818730224,4.10960264131555,5.06795264794498,4.96843375733033,4.9190945454993
"SVE_0007100",4.70188188395074,4.25114391769667,4.35883134235036,5.4106721322819,5.54910082982815,5.60846044952111
"SVE_0007200",2.28449233989765,2.24649662694674,1.48266309841527,2.52360571371129,2.11486308392838,1.93755988813365
"SVE_0007300",-0.974060638076761,-1.19853531546402,0.262163942566596,-0.387800152440566,-0.45532961370155,-1.64067949328676
"SVE_0007400",6.36639529566957,6.0386142362822,5.43463561491095,7.26096921153682,7.6345824277557,6.99847202918878
"SVE_0007500",-4.54882774903858,-4.81651543051155,0.78648764035413,-2.80581423986591,-2.36865276856306,-2.41884790060459
"SVE_0007600",4.82844785622264,4.81151110356182,4.57093288490467,4.65150801658157,4.53299611571061,4.89865939491123
"SVE_0007700",4.98720124638492,5.23641382327079,4.5748545889717,4.57301891560116,4.63681039292174,4.55673646581347
"SVE_0007800",6.74080436398573,7.29824086129879,6.51364016612368,6.69712644084058,6.63393210883681,6.42286641044279
"SVE_0007900",0.468113120469071,0.0725015745081171,0.850360506696537,0.254260220678691,0.136496027445266,0.469127232957739
"SVE_0008000",-0.076054094364875,-5.61464328566386,2.64977850076113,-0.0791533193083028,0.241200103946127,-0.397490175250502
"SVE_0008100",-1.18093357770167,-0.576555021576245,-0.501644067486194,-0.253608370033647,-0.330141979177685,-0.605947988591777
"SVE_0008200",7.14657906002348,6.75341700074202,6.86661420255015,7.73206953527082,7.81459489625483,7.85546515440844
"SVE_0008300",3.80688343982473,3.79182425904671,3.76608683265658,3.65374157180385,3.67454580419836,3.60526909466526
"SVE_0008400",6.50535734689702,5.88480932845768,6.61738384077187,7.67114285702381,8.20968690032516,8.21123742867125
"SVE_0008700",0.597238057754095,-0.493894850760766,1.46210145970786,0.952508309839797,0.80009411853617,1.30494302426678
"SVE_0008800",-1.12471893647686,-5.61461310373036,-4.50063861458571,-2.0204770361992,-1.39983915065651,-2.01724523824558
"SVE_0008900",1.88614997206035,2.24667043558964,2.10626067075669,1.07870562690334,1.74678841757732,1.55863021201838
"SVE_0009000",-4.18349511852659,-2.65962236985024,-3.07585549544161,-2.56871767095239,-1.59855105582707,-2.37521146257437
"SVE_0009100",3.97276505974116,3.78637765299226,3.97428196801693,3.8076885822298,3.91954254338353,3.66080791577228
"SVE_0009200",6.8472840328834,5.6795479316193,7.5534939797275,6.44177055301509,5.96851781709713,6.10266235869388
"SVE_0009300",2.48187427931649,2.25705764872919,3.66080413105096,2.89972451823627,3.00427608257669,3.02960769238182
"SVE_0009400",0.735947622208229,0.314464967516284,0.833301286480024,1.37249571432226,1.34704026689029,1.47020621845727
"SVE_0009500",6.03777539731531,5.92140113352436,5.569553566537,6.08449487960459,6.08570937582676,6.07791827873011
"SVE_0009600",6.14826994883076,5.45699378599556,5.86320774923283,5.39779199058559,5.15978372853393,5.43927422413712
"SVE_0009700",8.16378192193069,7.67983773263964,8.24579047167555,7.73064270572457,8.21354419019426,8.31303144398967
"SVE_0009800",5.30597760485177,5.52485530012328,5.58641591682645,5.80054441627604,6.06298950436656,6.10506327567281
"SVE_0009900",6.2195568966471,6.30868390311572,7.0676280489826,4.56195915074848,4.31292422827457,4.41314259025957
"SVE_0010000",3.58219030113812,4.57255203322829,3.13042811299852,3.37148270845694,2.94128736138091,2.65551737802383
"SVE_0010100",5.14511640572008,4.6997928260891,5.646108357322,4.52939745522189,4.146707144272,4.49456473898637
"SVE_0010200",-2.24249040548151,-1.92618125448312,-3.34439634573263,-2.79342828162068,-1.35372551431126,-2.02050074039642
"SVE_0010300",-0.309474114286015,1.21721311542491,-0.663279332353852,0.198559086851922,-1.17671578057597,-0.681332007836711
"SVE_0010400",7.06096390718333,6.87091489039173,6.48997605049113,7.16844556804679,6.80476912707222,7.01314028454639
"SVE_0010500",0.989436426848871,0.245816048447797,2.39239299794516,2.67734122562639,1.96821122317685,2.19397611222714
"SVE_0010600",-3.95233404983428,-5.61461256729982,-1.91042635646654,-3.17874811863508,-3.14926181749806,-3.21056521943948
"SVE_0010700",6.33197297326418,6.33241199637299,6.32113460559872,7.28438905925675,7.74185239393183,7.75977486390166
"SVE_0010900",-4.56099561120361,-4.44319230768417,-2.21006865045638,-2.34788724332851,-3.92224980763842,-3.98586653820236
"SVE_0011000",-3.77502030709163,-1.95281074082957,-2.93419014234305,-3.96543882881288,-3.1360503662562,-3.18403501711989
"SVE_0011100",-3.38537262403773,-4.45764781231442,-2.86015542568819,-2.81775296239481,-2.78036068939309,-3.98591467778364
"SVE_0011300",6.79169118810768,6.62435536561461,6.90813984874762,6.63691222440097,6.22291116547559,6.25705869317201
"SVE_0011400",-0.893983861054747,-0.26503007161676,0.198796747326049,-0.406341492217984,-0.483551780739401,0.0986956055189994
"SVE_0011500",1.38676102757535,2.43386198183291,-0.0887109405863072,0.648340965027153,-0.0678690288376522,0.697565591072347
"SVE_0011600",5.98188889245606,5.63454002605385,6.24256922875489,5.62010040593874,5.54622576406009,5.62202714389916
"SVE_0011700",6.34499129404897,5.96419389549399,6.646994894531,6.06829363555554,6.14653854454019,6.17455907758957
"SVE_0011800",6.9359964657882,6.59630813432115,6.63650107096915,7.1046483893328,7.34216301386329,7.46567882306121
"SVE_0011900",2.62719587284665,1.54716796239316,-0.064764352576664,1.97233769052158,2.13832713688418,1.94107072966492
"SVE_0012000",1.43096066934697,-1.563405073212,0.403685861996759,-2.01335545562063,-2.32973136579823,-1.38752881850047
"SVE_0012100",-0.358657811227464,-1.93174801933086,1.78622855581723,0.81264797140528,0.188610985135665,0.0136162009238796
"SVE_0012200",3.54936991171432,2.97182484285404,2.97004739644932,3.80270888172407,3.95392993326297,3.92192839766615
"SVE_0012300",-3.40881710288067,-5.61461319009431,-2.17588969712162,-3.14874746462853,-2.76051942117951,-2.03063177760154
"SVE_0012400",-0.881577620824867,-1.40832579429604,-3.10577183588545,-0.524247575453384,-1.11170388029039,-1.4595931022545
"SVE_0012500",-2.9792466018622,-2.0171936645272,-3.54692144108599,-3.34607504094353,-3.92224980763842,-3.98586653820236
"SVE_0012600",3.47800771469394,3.78353917307103,1.77731579346766,1.69809539160714,1.69176982635993,1.72296352661823
"SVE_0012700",5.54671096785148,5.15892255913202,5.39405740702231,5.24768928339949,4.96485624414727,5.16213394562923
"SVE_0012800",6.69471309250155,6.63284880677539,6.84085462487904,6.28347592253867,7.31919445704107,7.02610269047365
