"","geneID","FLM-ERR225783","iL3-ERR225784","PF-ERR299168","PF-ERR299169","PF-ERR299170","FLF-ERR299171","FLF-ERR299172","FLF-ERR299173","PF-ERR299174","PF-ERR299175","PF-ERR299176","FLF-ERR299177","FLF-ERR299178","FLF-ERR299179"
"35","SRAE_0000051300",0,0,0,0,0,0.0459088687693915,0.0278800430070907,0.0540753137051118,0.0300343619458585,0,0,0,0.0271539878991398,0.0542439197221109
"36","SRAE_0000051450",0,0,0,0,0,0,0,0.0508467670911842,0,0,0,0,0,0.106569764687604
"37","SRAE_0000051500",0,0,0.0294875294512289,0,0,0,0.028809335502633,0,0,0,0,0,0,0
"38","SRAE_0000051600",0,0,0,0,0.0344854267104748,0.0427680148079576,0,0.0540091841424149,0,0,0,0,0,0
"39","SRAE_0000051700",0,0,0.0597096804462417,0,0.0667362554713662,0.129655320913162,0.0291173269137113,0,0.0301813756256543,0.0511980441547763,0.0670127451981785,0,0,0
"40","SRAE_0000051800",0,0,0,0,0.0337811695702226,0,0,0,0.0292089358893204,0,0,0,0,0
"41","SRAE_0000051900",0,0,0.0896834461083745,0.0506887794784457,0.0333274157901013,0.0874506200308944,0,0,0.121115349921838,0,0.0335892360891455,0.0432182219423807,0.0587573714245274,0.0548970308056883
"42","SRAE_0000052300",0.41792638023613,0.212974884451198,0,0.051265609139761,0.0338580503040331,0.0458714240236692,0.0296305128735727,0,0.0609277864425578,0,0.0678961521310933,0,0,0
"43","SRAE_0000052500",0,0,0.0888515044016837,0,0.0998013845395549,0.045810049313889,0.0287748154497028,0,0.0296881439485273,0,0.0333849732145834,0.137800643058898,0.0865883191995235,0.0522342177653615
"44","SRAE_0000052700",0,0.185567667910473,0,0,0,0,0,0,0.0343361367447833,0,0,0,0.0333826504946517,0
"45","SRAE_0000053000",0,0,0.0295844750948482,0,0,0,0,0,0,0,0,0,0,0
"46","SRAE_0000053100",0,0,0.0591688581628918,0,0,0,0,0,0,0,0,0,0,0
"47","SRAE_0000053200",0,0,0.0276454371718805,0.0507575799827797,0,0.176701061036727,0,0.0513296074295517,0,0.0578408764637846,0,0.0465571054302466,0,0.0505221471581289
"48","SRAE_0000053300",0,0,0,0,0.0332497064274023,0,0,0,0.0297588669945249,0,0,0.136963837325213,0,0.157416120730695
"49","SRAE_0000053400",0,0,0,0,0.0686560943195613,0.132839352593043,0.0271228573293424,0.261681353397948,0,0.0588649460821952,0.130510208307628,0.0945143876613666,0.0791988689800796,0.0521090009166231
"50","SRAE_0000053900",0,0,0.0294131213551909,0,0.0354890852129608,0,0,0.106241409813976,0,0,0.0330690996053583,0,0.0269271115595002,0
"51","SRAE_0000054000",0,0,0.0599242701150608,0,0,0,0,0.0513503836768748,0,0,0,0,0,0
"52","SRAE_0000054300",0,0,0.0298752313009391,0,0,0,0,0,0,0,0,0.0442898096285968,0,0.0537282394456471
"53","SRAE_0000054400",0.370336453834761,0.306118192566499,0.0283676632766436,0,0.0635473175982767,0,0.0277733552327285,0,0,0,0,0,0.0561294982344706,0.052395473379856
